,AcceptedAnsId,Age,Age_vot,AnsContributed,AnsId,AnsRank,AnsWordCount,Ans_count,Comments,CumScore,CumVotes,DRank,EPbias,Pbias,QContributed,QReScore,QScore,QVotes,QuestionId,ReScore,ReScore_rank,Score,ScoreRcvAns,ScoreRcvQ,VotRcvAns,VotRcvQ,Votes
0,56.0,0.0,0.0,5.0,4.0,2.0,190.0,2.0,0.0,1.0,3.0,0.0,0.496412263536,0.5,0.0,0.0,0.0,0.0,1.0,0.25,2.0,1.0,12.0,0.0,14.0,0.0,3.0
1,56.0,1436.0,1436.0,7.0,4.0,3.0,190.0,6.0,2.0,2.0,4.0,-2.0,0.089552238806,0.333333333333,1.0,0.923076923077,12.0,12.0,1.0,0.4,5.0,1.0,49.0,11.0,55.0,11.0,1.0
2,56.0,0.0,0.0,1.0,5.0,3.0,37.0,3.0,0.0,1.0,1.0,1.0,0.321406282505,0.333333333333,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0
3,56.0,108.0,108.0,2.0,5.0,5.0,37.0,5.0,1.0,0.0,2.0,0.0,0.167324388319,0.2,0.0,0.923076923077,12.0,12.0,1.0,0.0,5.0,-1.0,-2.0,0.0,4.0,0.0,1.0
4,10.0,0.0,0.0,1.0,6.0,5.0,51.0,5.0,0.0,1.0,1.0,0.0,0.167324388319,0.2,0.0,0.0,0.0,0.0,2.0,0.5,5.0,1.0,1.0,0.0,1.0,0.0,1.0
5,10.0,0.0,0.0,4.0,8.0,3.0,46.0,4.0,0.0,1.0,1.0,0.0,0.183945139169,0.333333333333,0.0,0.0,0.0,0.0,2.0,0.5,3.0,1.0,5.0,0.0,5.0,0.0,1.0
6,109.0,0.0,0.0,1.0,9.0,1.0,25.0,1.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.8,1.0,4.0,1.0,0.0,1.0,0.0,4.0
7,109.0,12.0,12.0,4.0,9.0,2.0,25.0,8.0,3.0,5.0,5.0,0.0,0.0282131661442,0.5,0.0,0.962962962963,26.0,26.0,3.0,0.833333333333,2.0,1.0,13.0,0.0,15.0,0.0,1.0
8,109.0,361.0,361.0,4.0,9.0,2.0,25.0,8.0,3.0,6.0,6.0,0.0,0.0282131661442,0.5,0.0,0.962962962963,26.0,26.0,3.0,0.857142857143,2.0,1.0,17.0,0.0,19.0,0.0,1.0
9,109.0,400.0,400.0,4.0,9.0,2.0,25.0,8.0,3.0,7.0,7.0,0.0,0.0282131661442,0.5,0.0,0.962962962963,26.0,26.0,3.0,0.875,2.0,1.0,18.0,0.0,20.0,0.0,1.0
