UserId,UserViews,UserReputation,PostId,PostType,VoteType,PostCreation,VoteCreation
3,44,1317,1,1,2,2011-11-15T20:45:51.037,2011-11-15T00:00:00.000
3,44,1317,1,1,2,2011-11-15T20:45:51.037,2011-11-15T00:00:00.000
3,44,1317,1,1,2,2011-11-15T20:45:51.037,2011-11-16T00:00:00.000
3,44,1317,1,1,2,2011-11-15T20:45:51.037,2011-11-16T00:00:00.000
3,44,1317,1,1,2,2011-11-15T20:45:51.037,2011-11-16T00:00:00.000
3,44,1317,1,1,2,2011-11-15T20:45:51.037,2011-11-22T00:00:00.000
3,44,1317,1,1,2,2011-11-15T20:45:51.037,2011-11-28T00:00:00.000
3,44,1317,1,1,2,2011-11-15T20:45:51.037,2011-12-13T00:00:00.000
3,44,1317,1,1,2,2011-11-15T20:45:51.037,2012-01-30T00:00:00.000
3,44,1317,1,1,2,2011-11-15T20:45:51.037,2012-04-20T00:00:00.000
3,44,1317,1,1,2,2011-11-15T20:45:51.037,2015-09-16T00:00:00.000
3,44,1317,1,1,2,2011-11-15T20:45:51.037,2015-09-20T00:00:00.000
10,25,708,2,1,2,2011-11-15T20:50:11.270,2011-11-15T00:00:00.000
10,25,708,2,1,2,2011-11-15T20:50:11.270,2011-11-15T00:00:00.000
10,25,708,2,1,2,2011-11-15T20:50:11.270,2011-11-15T00:00:00.000
10,25,708,2,1,2,2011-11-15T20:50:11.270,2011-11-15T00:00:00.000
10,25,708,2,1,2,2011-11-15T20:50:11.270,2011-11-15T00:00:00.000
10,25,708,2,1,2,2011-11-15T20:50:11.270,2011-11-15T00:00:00.000
10,25,708,2,1,2,2011-11-15T20:50:11.270,2011-11-16T00:00:00.000
10,25,708,2,1,2,2011-11-15T20:50:11.270,2011-11-19T00:00:00.000
10,25,708,2,1,2,2011-11-15T20:50:11.270,2011-11-29T00:00:00.000
10,25,708,2,1,2,2011-11-15T20:50:11.270,2012-01-30T00:00:00.000
10,25,708,2,1,2,2011-11-15T20:50:11.270,2015-06-24T00:00:00.000
10,25,708,2,1,2,2011-11-15T20:50:11.270,2015-10-29T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2011-11-15T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2011-11-15T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2011-11-15T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2011-11-15T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2011-11-15T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2011-11-15T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2011-11-16T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2011-11-16T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2011-11-16T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2011-11-16T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2011-11-17T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2011-11-20T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2011-11-20T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2011-11-21T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2011-11-27T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2012-01-16T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2012-11-10T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2013-07-21T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2013-10-22T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2013-12-29T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2014-01-03T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2014-01-04T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2014-06-11T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2015-02-17T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2015-07-19T00:00:00.000
18,0,380,3,1,2,2011-11-15T20:52:27.287,2015-09-27T00:00:00.000
10,25,708,4,2,2,2011-11-15T20:53:36.853,2011-11-15T00:00:00.000
10,25,708,4,2,2,2011-11-15T20:53:36.853,2011-11-15T00:00:00.000
10,25,708,4,2,2,2011-11-15T20:53:36.853,2015-10-21T00:00:00.000
10,25,708,4,2,3,2011-11-15T20:53:36.853,2011-11-15T00:00:00.000
28,4,3,5,2,2,2011-11-15T20:54:09.083,2011-11-15T00:00:00.000
28,4,3,5,2,3,2011-11-15T20:54:09.083,2012-03-02T00:00:00.000
