,AnsId,Age,QuestionId,AnsWordCount,AcceptedAnsId,QScore,QVotes,Score,Votes,Upvotes,Downvotes,CumVotes,CumScore,ReScore,QReScore,AnsRank,ReScore_rank,Ans_count,Pbias,DRank,EPbias
0,56,0,1.0,201.0,56.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.987640296269,0.0,1,1,1,1.0,0,1.0
1,10,0,2.0,145.0,10.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.990730222202,0.0,1,1,1,1.0,0,1.0
2,9,0,3.0,25.0,109.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.992584177762,0.0,1,1,1,1.0,0,1.0
3,16,0,7.0,45.0,2977.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.990730222202,0.0,1,1,1,1.0,0,1.0
4,20,0,14.0,28.0,20.0,0.0,0.0,7.0,7.0,7.0,0.0,7.0,7.0,0.995365111101,0.0,1,1,1,1.0,0,1.0
5,33,0,18.0,133.0,33.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.990730222202,0.0,1,1,1,1.0,0,1.0
6,40,0,21.0,84.0,80.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.981460444404,0.0,1,1,1,1.0,0,1.0
7,46,0,22.0,110.0,46.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.990730222202,0.0,1,1,1,1.0,0,1.0
8,27,0,25.0,59.0,67.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.981460444404,0.0,1,1,1,1.0,0,1.0
9,81,17,26.0,37.0,,7.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,0.981460444404,0.875,1,1,1,1.0,0,1.0
10,81,905,26.0,37.0,,7.0,7.0,1.0,1.0,1.0,0.0,2.0,2.0,0.987640296269,0.875,1,1,1,1.0,0,1.0
11,41,0,28.0,116.0,41.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.990730222202,0.0,1,1,1,1.0,0,1.0
12,41,1,28.0,116.0,41.0,15.0,15.0,4.0,4.0,4.0,0.0,7.0,7.0,0.995365111101,0.9375,1,1,1,1.0,0,1.0
13,41,7,28.0,116.0,41.0,15.0,15.0,2.0,2.0,2.0,0.0,9.0,9.0,0.996292088881,0.9375,1,1,1,1.0,0,1.0
14,45,0,31.0,28.0,,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.987640296269,0.0,1,1,1,1.0,0,1.0
15,45,1,31.0,28.0,,17.0,17.0,5.0,5.0,5.0,0.0,7.0,7.0,0.995365111101,0.944444444444,1,1,1,1.0,0,1.0
16,62,0,32.0,110.0,62.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.990730222202,0.0,1,1,1,1.0,0,1.0
17,62,1,32.0,110.0,62.0,16.0,18.0,2.0,2.0,2.0,0.0,5.0,5.0,0.993820148135,0.842105263158,1,1,1,1.0,0,1.0
18,62,3,32.0,110.0,62.0,16.0,18.0,1.0,1.0,1.0,0.0,6.0,6.0,0.994702984115,0.842105263158,1,1,1,1.0,0,1.0
19,62,7,32.0,110.0,62.0,16.0,18.0,1.0,1.0,1.0,0.0,7.0,7.0,0.995365111101,0.842105263158,1,1,1,1.0,0,1.0
20,62,8,32.0,110.0,62.0,16.0,18.0,1.0,1.0,1.0,0.0,8.0,8.0,0.995880098756,0.842105263158,1,1,1,1.0,0,1.0
21,62,9,32.0,110.0,62.0,16.0,18.0,1.0,1.0,1.0,0.0,9.0,9.0,0.996292088881,0.842105263158,1,1,1,1.0,0,1.0
22,62,29,32.0,110.0,62.0,16.0,18.0,1.0,1.0,1.0,0.0,10.0,10.0,0.99662917171,0.842105263158,1,1,1,1.0,0,1.0
23,62,44,32.0,110.0,62.0,16.0,18.0,1.0,1.0,1.0,0.0,11.0,11.0,0.996910074067,0.842105263158,1,1,1,1.0,0,1.0
24,62,157,32.0,110.0,62.0,16.0,18.0,1.0,1.0,1.0,0.0,12.0,12.0,0.997147760678,0.842105263158,1,1,1,1.0,0,1.0
25,62,244,32.0,110.0,62.0,16.0,18.0,1.0,1.0,1.0,0.0,13.0,13.0,0.997351492058,0.842105263158,1,1,1,1.0,0,1.0
26,62,1354,32.0,110.0,62.0,16.0,18.0,1.0,1.0,1.0,0.0,14.0,14.0,0.997528059254,0.842105263158,1,1,1,1.0,0,1.0
27,37,0,34.0,464.0,37.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.987640296269,0.0,1,1,1,1.0,0,1.0
28,37,2,34.0,464.0,37.0,18.0,18.0,1.0,1.0,1.0,0.0,3.0,3.0,0.990730222202,0.947368421053,1,1,1,1.0,0,1.0
29,57,0,38.0,342.0,2846.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.990730222202,0.0,1,1,1,1.0,0,1.0
30,43,1,39.0,39.0,43.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.987640296269,0.666666666667,1,1,1,1.0,0,1.0
31,55,0,44.0,97.0,55.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.99662917171,0.0,1,1,1,1.0,0,1.0
32,79,0,60.0,24.0,201.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.987640296269,0.0,1,1,1,1.0,0,1.0
33,66,0,61.0,82.0,66.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,0.993820148135,0.0,1,1,1,1.0,0,1.0
34,66,1,61.0,82.0,66.0,14.0,14.0,1.0,1.0,1.0,0.0,6.0,6.0,0.994702984115,0.933333333333,1,1,1,1.0,0,1.0
