,QuestionId,Age,AnsRank,Votes,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank,EPbias
0,1.0,1,4,0.0,0.0,1.0,1.0,0.0,0.263722397476
1,1.0,1,4,0.0,0.0,1.0,1.0,0.0,0.263722397476
2,1.0,1,4,0.0,0.0,1.0,1.0,0.0,0.263722397476
3,1.0,1,4,0.0,0.0,1.0,1.0,0.0,0.263722397476
4,1.0,1,4,0.0,0.0,1.0,1.0,0.0,0.263722397476
5,1.0,1,4,1.0,0.0,1.0,1.0,0.0,0.263722397476
0,1.0,2,4,0.0,0.981460444404,1.0,1.0,0.25,0.263722397476
1,1.0,2,4,0.0,0.981460444404,1.0,1.0,0.25,0.263722397476
0,1.0,5,4,0.0,0.981460444404,1.0,1.0,0.25,0.263722397476
0,1.0,8,4,0.0,0.981460444404,1.0,1.0,0.25,0.263722397476
0,1.0,108,4,0.0,0.981460444404,0.8,0.64,0.2,0.179818887451
0,1.0,158,4,0.0,0.981460444404,0.8,0.64,0.2,0.179818887451
0,1.0,951,4,0.0,0.981460444404,0.666666666667,0.444444444444,0.166666666667,0.169398907104
0,1.0,952,4,0.0,0.490730222202,0.666666666667,0.444444444444,-0.166666666667,0.169398907104
0,1.0,1232,4,0.0,0.490730222202,0.666666666667,0.444444444444,-0.166666666667,0.169398907104
0,1.0,1256,4,0.0,0.490730222202,0.666666666667,0.444444444444,-0.166666666667,0.169398907104
0,1.0,1285,4,0.0,0.490730222202,0.666666666667,0.444444444444,-0.166666666667,0.169398907104
0,1.0,1401,4,0.0,0.490730222202,0.666666666667,0.444444444444,-0.166666666667,0.169398907104
0,1.0,1436,4,0.0,0.490730222202,0.571428571429,0.326530612245,-0.142857142857,0.137724550898
1,1.0,1436,4,0.0,0.490730222202,0.571428571429,0.326530612245,-0.142857142857,0.137724550898
2,1.0,1436,4,0.0,0.490730222202,0.571428571429,0.326530612245,-0.142857142857,0.137724550898
0,2.0,0,4,0.0,0.0,0.8,0.64,0.0,0.179818887451
1,2.0,0,4,0.0,0.0,0.8,0.64,0.0,0.179818887451
2,2.0,0,4,0.0,0.0,0.8,0.64,0.0,0.179818887451
3,2.0,0,4,0.0,0.0,0.8,0.64,0.0,0.179818887451
4,2.0,0,4,0.0,0.0,0.8,0.64,0.0,0.179818887451
5,2.0,0,4,0.0,0.0,0.8,0.64,0.0,0.179818887451
6,2.0,0,4,1.0,0.0,0.8,0.64,0.0,0.179818887451
7,2.0,0,4,1.0,0.0,0.8,0.64,0.0,0.179818887451
8,2.0,0,4,1.0,0.0,0.8,0.64,0.0,0.179818887451
0,2.0,1,4,0.0,0.0,0.8,0.64,0.0,0.179818887451
1,2.0,1,4,0.0,0.0,0.8,0.64,0.0,0.179818887451
0,2.0,2,4,0.0,0.0,0.8,0.64,0.0,0.179818887451
0,2.0,15,4,0.0,0.0,0.8,0.64,0.0,0.179818887451
1,2.0,15,4,0.0,0.0,0.8,0.64,0.0,0.179818887451
0,2.0,26,4,0.0,0.0,0.8,0.64,0.0,0.179818887451
0,2.0,808,4,0.0,0.0,0.8,0.64,0.0,0.179818887451
0,3.0,0,4,0.0,0.0,0.666666666667,0.444444444444,0.0,0.169398907104
1,3.0,0,4,0.0,0.0,0.666666666667,0.444444444444,0.0,0.169398907104
2,3.0,0,4,0.0,0.0,0.666666666667,0.444444444444,0.0,0.169398907104
3,3.0,0,4,0.0,0.0,0.666666666667,0.444444444444,0.0,0.169398907104
4,3.0,0,4,0.0,0.0,0.666666666667,0.444444444444,0.0,0.169398907104
5,3.0,0,4,0.0,0.0,0.666666666667,0.444444444444,0.0,0.169398907104
6,3.0,0,4,0.0,0.0,0.666666666667,0.444444444444,0.0,0.169398907104
7,3.0,0,4,0.0,0.0,0.666666666667,0.444444444444,0.0,0.169398907104
8,3.0,0,4,1.0,0.0,0.666666666667,0.444444444444,0.0,0.169398907104
9,3.0,0,4,1.0,0.0,0.666666666667,0.444444444444,0.0,0.169398907104
10,3.0,0,4,1.0,0.0,0.666666666667,0.444444444444,0.0,0.169398907104
0,3.0,1,4,0.0,0.981460444404,0.571428571429,0.326530612245,0.0,0.137724550898
1,3.0,1,4,0.0,0.981460444404,0.571428571429,0.326530612245,0.0,0.137724550898
2,3.0,1,4,0.0,0.981460444404,0.571428571429,0.326530612245,0.0,0.137724550898
3,3.0,1,4,0.0,0.981460444404,0.571428571429,0.326530612245,0.0,0.137724550898
