,QuestionId,Age_curr,Ans_count,AnsId,Votes,AnsRank,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank,EPbias
1334,1.0,108,5,897,1.0,5,0.0,1.0,1.0,0.0,0.186287192755
1335,1.0,158,5,56,1.0,1,0.995880098756,0.2,0.04,0.0,0.305304010349
1336,7.0,338,5,2954,1.0,5,0.0,1.0,1.0,0.0,0.186287192755
1337,7.0,339,5,2954,1.0,1,0.981460444404,0.2,0.04,-0.8,0.305304010349
1338,18.0,262,5,2661,1.0,4,0.0,0.8,0.64,0.0,0.179818887451
1339,18.0,263,5,2661,1.0,2,0.981460444404,0.4,0.16,-0.2,0.155239327296
1340,18.0,266,5,33,1.0,1,0.997682555551,0.2,0.04,0.0,0.305304010349
1341,18.0,316,5,1382,1.0,2,0.987640296269,0.4,0.16,-0.2,0.155239327296
1342,18.0,443,5,33,1.0,1,0.997818875812,0.2,0.04,0.0,0.305304010349
1343,18.0,1334,5,33,1.0,1,0.997940049378,0.2,0.04,0.0,0.305304010349
1344,21.0,329,5,80,1.0,1,0.592584177762,0.2,0.04,-0.6,0.305304010349
1345,21.0,329,5,2928,1.0,2,0.987640296269,0.4,0.16,0.0,0.155239327296
1346,21.0,329,5,2912,1.0,3,0.987640296269,0.6,0.36,0.0,0.173350582147
1347,21.0,336,5,80,1.0,1,0.660486814801,0.2,0.04,-0.6,0.305304010349
1348,21.0,339,5,2928,1.0,2,0.990730222202,0.4,0.16,0.2,0.155239327296
1349,21.0,363,5,2928,1.0,2,0.992584177762,0.4,0.16,0.2,0.155239327296
1350,25.0,90,5,36,1.0,3,0.0,0.6,0.36,0.0,0.173350582147
1351,25.0,91,5,36,1.0,5,-0.0185395555959,1.0,1.0,0.0,0.186287192755
1352,25.0,97,5,67,1.0,1,0.993820148135,0.2,0.04,0.0,0.305304010349
1353,25.0,102,5,67,1.0,1,0.994702984115,0.2,0.04,0.0,0.305304010349
1354,25.0,102,5,49,1.0,2,0.992584177762,0.4,0.16,0.0,0.155239327296
1355,25.0,128,5,67,1.0,1,0.995365111101,0.2,0.04,0.0,0.305304010349
1356,25.0,162,5,67,1.0,1,0.995880098756,0.2,0.04,0.0,0.305304010349
1357,28.0,1144,5,1995,1.0,4,0.0,0.8,0.64,0.0,0.179818887451
1358,28.0,1146,5,51,1.0,2,0.987640296269,0.4,0.16,-0.2,0.155239327296
1359,38.0,307,5,2846,1.0,1,0.990730222202,0.2,0.04,-0.2,0.305304010349
1360,38.0,315,5,2846,1.0,1,0.992584177762,0.2,0.04,-0.2,0.305304010349
1361,38.0,315,5,57,1.0,2,0.997528059254,0.4,0.16,0.2,0.155239327296
1362,38.0,320,5,2846,1.0,1,0.993820148135,0.2,0.04,-0.2,0.305304010349
1363,38.0,414,5,2846,1.0,1,0.994702984115,0.2,0.04,-0.2,0.305304010349
1364,38.0,728,5,2846,1.0,1,0.995365111101,0.2,0.04,-0.2,0.305304010349
